Type,URL,Title,OG_URL,Description
Blog,https://www.pubnub.com/blog/connecting-kafka-and-pubnub/,Connecting Kafka and PubNub,https://www.pubnub.com/og/?text=Connecting%20Kafka%20and%20PubNub&img=20,Extend your Kafka events to edge devices with PubNub, enabling real-time distribution and processing from IoT, mobile apps, and browsers.
Blog,https://www.pubnub.com/blog/do-i-have-to-store-my-data-with-pubnub/,Do I Have to Store My Data with PubNub?,https://www.pubnub.com/og/?text=Do%20I%20Have%20to%20Store%20My%20Data%20with%20PubNub%3F&img=15,You do NOT need to store your data with PubNub to create a real-time solution, but doing so can give you access to extra capabilities
Blog,https://www.pubnub.com/blog/announcing-the-new-pubnub-chat-sdk/,Announcing the New PubNub Chat SDK,https://www.pubnub.com/og/?text=Announcing%20the%20New%20PubNub%20Chat%20SDK&img=4,PubNub's Chat SDK is the easiest way for developers to create new chat applications or add in-app chat to existing apps
Blog,https://www.pubnub.com/blog/pubnub-at-devcom-and-gamescom-2023/,PubNub at Devcom and Gamescom Europe 2023,https://www.pubnub.com/og/?text=PubNub%20at%20Devcom%20and%20Gamescom%20Europe%202023&img=18,PubNub joined what felt like the entire European gaming community for two back-to-back events in Cologne during August 2023
Blog,https://www.pubnub.com/blog/add-trading-and-leaderboards-to-your-unity-game-with-pubnub/,Add Trading and Leaderboards to your Unity game with PubNub,https://www.pubnub.com/og/?text=Add%20Trading%20and%20Leaderboards%20to%20your%20Unity%20game%20with%20PubNub&img=10,Improve engagement with your Unity game by adding real-time Item Trading, Leaderboards & Moderation with PubNub
Blog,https://www.pubnub.com/blog/add-social-features-to-your-unity-game-with-pubnub/,Add Social Features to your Unity game with PubNub,https://www.pubnub.com/og/?text=Add%20Social%20Features%20to%20your%20Unity%20game%20with%20PubNub&img=21,Improve engagement with your Unity game by adding real-time Messaging and Social Features with PubNub
Blog,https://www.pubnub.com/blog/build-a-chatbot-with-pubnub-and-chatgpt-openai/,Adding a ChatBot powered by OpenAI to the PubNub Showcase,https://www.pubnub.com/og/?text=Adding%20a%20ChatBot%20powered%20by%20OpenAI%20to%20the%20PubNub%20Showcase&img=1,Quickly create immensely powerful real-time solutions with PubNub and OpenAI / ChatGPT to add AI and chat to any online experience
Blog,https://www.pubnub.com/blog/make-sure-users-love-your-next-big-app-or-feature/,Make Sure Users Love your Next Big App or Feature,https://www.pubnub.com/og/?text=Make%20Sure%20Users%20Love%20your%20Next%20Big%20App%20or%20Feature&img=23,PubNub Insights lets you understand how users interact with your application and what your most popular features are
Blog,https://www.pubnub.com/blog/consistent-hashing-implementation/,Consistent Hashing: What it is and how to implement it,https://www.pubnub.com/og/?text=Consistent%20Hashing%3A%20What%20it%20is%20and%20how%20to%20implement%20it&img=14,Consistent hashing determines where data should be stored in a distributed system whilst tolerating servers being added or removed
Blog,https://www.pubnub.com/blog/building-a-chat-application-using-flutter/,Building a Chat Application using Flutter,https://www.pubnub.com/og/?text=Building%20a%20Chat%20Application%20using%20Flutter&img=7,When building a real-time chat application to run cross-platform, Flutter and PubNub are a great combination.
Blog,https://www.pubnub.com/blog/events-and-actions-or-pubnub-functions-picking-the-right-tool/,Events & Actions or PubNub Functions: Picking the right tool,https://www.pubnub.com/og/?text=Events%20%26%20Actions%20or%20PubNub%20Functions%3A%20Picking%20the%20right%20tool&img=16,PubNub offers two solutions for event-driven processing: Events & Actions and Functions, both of which are useful in different circumstances
Blog,https://www.pubnub.com/blog/nodejs-websocket-programming-examples,Node.JS WebSocket programming examples,https://www.pubnub.com/og/?text=Node.JS%20WebSocket%20programming%20examples&img=3,Develop simple and scalable apps with a fast backend environment that supports popular JavaScript libraries. Websockets server tutorial
Blog,https://www.pubnub.com/blog/socket-programming-in-python-client-server-p2p/,Socket Programming in Python with examples,https://www.pubnub.com/og/?text=Socket%20Programming%20in%20Python%20with%20examples&img=11,Learn Python's Network Socket Programming for Efficient and Fast Data Transmission Between Devices, Servers, and Clients
Blog,https://www.pubnub.com/blog/prevent-overuse-of-software-licenses-and-subscriptions/,Prevent Overuse of Software Licenses and Subscriptions,https://www.pubnub.com/og/?text=Prevent%20Overuse%20of%20Software%20Licenses%20and%20Subscriptions&img=19,PubNub can help track your software licenses in real-time to prevent subscription and licensing misuse
Blog,https://pubnub.com/blog/http-long-polling,What is HTTP Long Polling?,https://www.pubnub.com/og/?text=What%20is%20HTTP%20Long%20Polling%3F&img=8,Long polling: a backend technique that boosts efficiency for real-time web app communication. Ideal for scalable chat and notifications!
How-To,https://www.pubnub.com/how-to/smooth-driver-location/,How to Smooth Your Location Data & Snap to the Nearest Road,https://www.pubnub.com/og/?text=How%20to%20Smooth%20Your%20Location%20Data%20%26%20Snap%20to%20the%20Nearest%20Road&img=12,How to Smooth Your Driver Location Data & Snap to the Nearest Road
How-To,https://www.pubnub.com/how-to/use-the-ena-api/,How to Use the Events & Actions API,https://www.pubnub.com/og/?text=How%20to%20Use%20the%20Events%20%26%20Actions%20API&img=5,The Events & Actions API provides programmatic access to send all events in your application's ecosystem to third-party systems
How-To,https://www.pubnub.com/how-to/use-app-context/,How to Use PubNub App Context,https://www.pubnub.com/og/?text=How%20to%20Use%20PubNub%20App%20Context&img=24,PubNub App Context is an easy-to-use, serverless storage for user, channel, and membership information
How-To,https://www.pubnub.com/how-to/securely-moderate-chat-and-users/,Moderate Chat and Users with BizOps Workspace,https://www.pubnub.com/og/?text=Moderate%20Chat%20and%20Users%20with%20BizOps%20Workspace&img=17,How to use PubNub's Channel Monitor and Access Manager to create a secure and moderated chat application
How-To,https://www.pubnub.com/how-to/admin-portal-presence,How to Enable and Configure PubNub Presence,https://www.pubnub.com/og/?text=How%20to%20Enable%20and%20Configure%20PubNub%20Presence&img=2,Follow this step-by-step how-to on getting presence up and running in your PubNub portal
How-To,https://www.pubnub.com/how-to/manage-users-and-channels-with-bizops-workspace/,Manage Users and Channels with BizOps Workspace,https://www.pubnub.com/og/?text=Manage%20Users%20and%20Channels%20with%20BizOps%20Workspace&img=13,User Management and Channel Management allow you to manage the App Context metadata about your Users and Channels, as well their relationships
How-To,https://www.pubnub.com/how-to/monitor-and-moderate-conversations-with-bizops-workspace/,Monitor and Moderate Conversations with BizOps Workspace,https://www.pubnub.com/og/?text=Monitor%20and%20Moderate%20Conversations%20with%20BizOps%20Workspace&img=9,The channel monitor allows an administrator to watch live previews of conversations happening in real-time and take action
How-To,https://www.pubnub.com/how-to/call-access-manager-from-pubnub-functions/,How to Call Access Manager from PubNub Functions,https://www.pubnub.com/og/?text=How%20to%20Call%20Access%20Manager%20from%20PubNub%20Functions&img=22,How to: Call Access Manager from PubNub Functions
How-To,https://www.pubnub.com/how-to/upgrade-encryption-to-256-bit-key-length/,How to Upgrade your Encryption to 256-bit Key Strength,https://www.pubnub.com/og/?text=How%20to%20Upgrade%20your%20Encryption%20to%20256-bit%20Key%20Strength&img=6,How To Upgrade your Message-Level Encryption to 256-bit Key Strength with PubNub
How-To,https://www.pubnub.com/how-to/throttle-or-aggregate-messages/?d=1,How to Throttle or Aggregate Messages with PubNub,https://www.pubnub.com/og/?text=How%20to%20Throttle%20or%20Aggregate%20Messages%20with%20PubNub&img=15,How to Throttle or Aggregate messages with PubNub
How-To,https://www.pubnub.com/how-to/chat-sdk-mention-users/,How to Mention Users and Channels with the PubNub Chat SDK,https://www.pubnub.com/og/?text=How%20to%20Mention%20Users%20and%20Channels%20with%20the%20PubNub%20Chat%20SDK&img=18,How to Mention Users and Reference Channels with the PubNub Chat SDK
How-To,https://www.pubnub.com/how-to/chat-sdk-create-threads-and-quote-messges/,How to Create Threads and Quote Messages with the PubNub Chat SDK,https://www.pubnub.com/og/?text=How%20to%20Create%20Threads%20and%20Quote%20Messages%20with%20the%20PubNub%20Chat%20SDK&img=4,How to Create Threads and Quote Messages with the PubNub Chat SDK
How-To,https://www.pubnub.com/how-to/chat-sdk-add-reactions-to-messages/,How to Add Reactions and Emoji to Messages with the PubNub Chat SDK,https://www.pubnub.com/og/?text=How%20to%20Add%20Reactions%20and%20Emoji%20to%20Messages%20with%20the%20PubNub%20Chat%20SDK&img=20,How to Add Reactions and Emoji to Messages with the PubNub Chat SDK
How-To,https://www.pubnub.com/how-to/chat-sdk-manage-user-channel-membership/?ddf=3,How to Manage User Channel Membership with the PubNub Chat SDK,https://www.pubnub.com/og/?text=How%20to%20Manage%20User%20Channel%20Membership%20with%20the%20PubNub%20Chat%20SDK&img=10,How to Manage User Channel Membership with the PubNub Chat SDK
How-To,https://www.pubnub.com/how-to/understand-your-pubnub-data-better-using-analyze-with-ai,Understand your PubNub Data Better using "Analyze with AI",https://www.pubnub.com/og/?text=Understand%20your%20PubNub%20Data%20Better%20using%20%22Analyze%20with%20AI%22&img=1,Insights is a valuable tool for understanding your data, but analyzing the data and deciding what actions to take can be harder, which is where 'Analyze with AI' can help, allowing you to ask questions about your data in plain English.
How-To,https://www.pubnub.com/how-to/make-the-most-of-pubnubs-dashboards/,How to make the most of PubNub's Dashboards,https://www.pubnub.com/og/?text=How%20to%20make%20the%20most%20of%20PubNub%27s%20Dashboards&img=21,How to make the most of PubNub's Dashboards
How-To,https://www.pubnub.com/how-to/create-a-real-time-delivery-application/,How to Create a Real-Time Delivery Application,https://www.pubnub.com/og/?text=How%20to%20Create%20a%20Real-Time%20Delivery%20Application&img=7,How to Create a Real-Time Delivery Application
How-To,https://pubnub.com/how-to/develop-an-iot-solution/,How to Develop an IoT Solution with PubNub,https://www.pubnub.com/og/?text=How%20to%20Develop%20an%20IoT%20Solution%20with%20PubNub&img=14,Manage and control a global fleet of IoT devices in real-time with PubNub
How-To,https://www.pubnub.com/how-to/cross-platform-chat-application/,How to Build Cross-Platform Chat Applications,https://www.pubnub.com/og/?text=How%20to%20Build%20Cross-Platform%20Chat%20Applications&img=23,This getting started guide explores how to build cross-platform chat applications with PubNub.
How-To,https://www.pubnub.com/how-to/real-time-streaming-application/,Develop a real-time streaming application,https://www.pubnub.com/og/?text=Develop%20a%20real-time%20streaming%20application&img=16,Stream any amount of real-time data to millions of participants in your application with PubNub.
How-To,https://www.pubnub.com/how-to/call-pubnub-from-alexa/,How to Call PubNub from Alexa,https://www.pubnub.com/og/?text=How%20to%20Call%20PubNub%20from%20Alexa&img=11,A guide on how to call Amazon Alexa from PubNub | Voice controlled message passing
